Indexcd,Idxtrd01,Idxtrd08
906,2014/4/11,-0.2186
906,2014/4/14,0.1395
906,2014/4/15,-1.4505
906,2014/4/16,0.0853
906,2014/4/17,-0.2841
906,2014/4/18,0.0885
906,2014/4/21,-1.6494
906,2014/4/22,0.1874
906,2014/4/23,-0.1962
906,2014/4/24,-0.4498
906,2014/4/25,-1.344
906,2014/4/28,-1.9338
906,2014/4/29,1.2012
906,2014/4/30,0.2027
906,2014/5/5,0.157
906,2014/5/6,0.1703
906,2014/5/7,-1.1613
906,2014/5/8,-0.0326
906,2014/5/9,-0.3296
906,2014/5/12,2.2816
906,2014/5/13,-0.2156
906,2014/5/14,-0.1051
906,2014/5/15,-1.4586
906,2014/5/16,0.0224
906,2014/5/19,-1.2026
906,2014/5/20,0.0974
906,2014/5/21,0.9243
906,2014/5/22,-0.1804
906,2014/5/23,0.8929
906,2014/5/26,0.5506
906,2014/5/27,-0.3584
906,2014/5/28,1.0567
906,2014/5/29,-0.7569
906,2014/5/30,0.0966
906,2014/6/3,-0.267
906,2014/6/4,-0.9704
906,2014/6/5,1.0709
906,2014/6/6,-0.6341
906,2014/6/9,-0.1656
906,2014/6/10,1.2252
906,2014/6/11,0.1119
906,2014/6/12,-0.3034
906,2014/6/13,1.0647
906,2014/6/16,0.686
906,2014/6/17,-0.9843
906,2014/6/18,-0.4656
906,2014/6/19,-1.8454
906,2014/6/20,0.579
906,2014/6/23,0.1002
906,2014/6/24,0.5317
906,2014/6/25,-0.5671
906,2014/6/26,0.8779
906,2014/6/27,0.2338
906,2014/6/30,0.7525
906,2014/7/1,0.1694
906,2014/7/2,0.4039
906,2014/7/3,0.5916
906,2014/7/4,-0.1541
906,2014/7/7,-0.0108
906,2014/7/8,0.3138
906,2014/7/9,-1.446
906,2014/7/10,-0.198
906,2014/7/11,0.5081
906,2014/7/14,1.2212
906,2014/7/15,0.1223
906,2014/7/16,-0.3497
906,2014/7/17,-0.6693
906,2014/7/18,0.3131
906,2014/7/21,-0.014
906,2014/7/22,1.2461
906,2014/7/23,-0.0116
906,2014/7/24,1.2654
906,2014/7/25,1.0009
906,2014/7/28,2.5631
906,2014/7/29,0.4926
906,2014/7/30,-0.2457
906,2014/7/31,1.157
906,2014/8/1,-0.9457
906,2014/8/4,1.8868
906,2014/8/5,-0.0552
906,2014/8/6,-0.0049
906,2014/8/7,-1.3659
906,2014/8/8,0.2804
906,2014/8/11,1.4809
906,2014/8/12,-0.1071
